Name,Long,Lat,zongshuliang,fabing,siwang,shijian
辽宁省锦州市,121.12703,41.09515,19938,221,221,20181125
辽宁省盘锦市,122.07078,41.11996,10036,2360,2306,20181203
辽宁省铁岭市,123.84241,42.2862,6640,50,14,20181203
辽宁省营口市大石桥市,122.50917,40.64448,3358,334,93,20181122
内蒙古自治区包头市昆都仑区,109.83859,40.64178,88,69,53,20190130
内蒙古自治区呼和浩特市,111.75199,40.84149,388,4,2,20190130
内蒙古自治区科尔沁右翼中旗,121.47694,45.06056,138,23,23,20181219
内蒙古自治区锡林郭勒盟阿巴嘎旗,114.95034,44.02272,237,16,16,20181217
内蒙古自治区锡林郭勒盟正蓝旗,115.99239,42.24162,159,14,8,20181209
宁夏回族自治区永宁县,106.25318,38.27749,57,26,13,20190305
青海省西宁市大通县,101.68545,36.92694,69,14,14,20190111
山东省济南市莱芜区,116.90276,36.65836,4504,17,3,20190405
山西省大同市,113.30001,40.07637,160,7,4,20181128
山西省晋城市泽州县,112.94366,35.50043,8016,24,7,20190213
山西省临汾市尧都区,111.57776,36.08329,91,45,35,20190118
山西省太原市阳曲县,112.67292,38.05828,210,75,47,20181217
陕西省西安市鄠邑区,108.60494,34.10847,245,205,79,20190117
陕西省西安市长安区,108.90688,34.15775,245,85,64,20190117
陕西省榆林市靖边县,108.79568,37.59931,11334,150,62,20190414
陕西省榆林市神木市,110.49896,38.84239,33,19,19,20190414
上海市金山区,121.34242,30.74185,314,50,11,20190104
四川省巴中市巴州区,106.76897,31.85131,117,51,19,20190125
四川省成都市新津县,103.81165,30.41026,110,27,13,20190103
四川省泸州市合江县,106.83135,29.81147,165,68,68,20190119
四川省绵阳市盐亭县,105.38996,31.20819,210,35,26,20190128
四川省宜宾市高县,104.5176,28.43622,40,16,16,20181230
甘肃省兰州市七里河区,103.74723,36.01829,190,143,37,20190305
天津市蓟州区,117.40829,40.04577,639,292,189,20181205
天津市宁河区,117.82478,39.33091,361,0,67,20190112
云南省怒江州泸水市,98.85804,25.82306,300,6,2,20190405
云南省普洱市思茅区,100.97692,22.78684,36,5,1,20181211
云南省昭通市威信县,105.04906,27.84685,1,1,1,20181227
云南省昭通市镇雄县,104.8736,27.4415,804,298,298,20181227
浙江省台州市,121.42056,28.65611,2280,56,56,20181204
重庆市璧山区,106.22742,29.59202,23,8,3,20190201
重庆市丰都县,107.73085,29.86352,309,3,3,20181221
江苏省连云港市,119.22295,34.59669,1800,615,88,20181004
浙江省乐清市,120.98338,28.11289,665,62,62,20190401
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
